Index,Review Title,Rating,Review Text,Date,Verified Purchase
14,Honest Review : Premium Price for Salt water.,1.0 out of 5 stars,Listerine Total Care (Purple) most certainly tastes and acts like gargling with salt water.Would you rather pay Rs. 300+ or use a cup of water with a teaspoon of salt when both of them will give you the same outcome? Do as your pocket allows you to.This is a gimmic concept that people blindly fall for - Pushing basic & inexpensive-to-produce items that our grandparents used with a ridiculous premium charged by conglomerates in the name of modernism.,Reviewed in India on 27 July 2023,Verified Purchase
15,Doubtful quality,1.0 out of 5 stars,The material in the bottle seems dialuted,Reviewed in India on 8 October 2023,Verified Purchase
16,Bad after taste,1.0 out of 5 stars,It is mild but the after taste sucks,Reviewed in India on 23 September 2022,Verified Purchase
17,Everything good except excessive dryness post use,3.0 out of 5 stars,"I really liked the product. Best taste, no strong aftertaste like the other variants, super effective but probably due to the strong characteristics of the product it makes my mouth dry which was not a problem until I noticed my tongue turning black after 15 days of use. I asked my dentist and she told me that its due to dead skin buildup on my tongue due to excessive dryness after using this mouthwash. Stopped using it and it went back to normal within 2-3 days.",Reviewed in India on 7 March 2023,N/A
18,Best Mouthwash Handsdown,5.0 out of 5 stars,"The direction to not rinse the mouth after, is helpful in making it effective.Also, this makes a bit of lather in the mouth that at least gives you the illusion that the effect will lastThis indeed has the longest lasting effect.Now whether it is advisable to use a mouthwash regularly for it might kill the good bacteria and also hamper the environment required for receding gums to heal naturally - is a different matter.",Reviewed in India on 2 August 2023,Verified Purchase
19,Mild not burning but effective,5.0 out of 5 stars,I liked it more than others specially the taste,Reviewed in India on 4 October 2023,Verified Purchase
20,Very pleasant but not VFM,4.0 out of 5 stars,should be priced around 200 or less. Is lot better than strong ones.,Reviewed in India on 3 December 2023,Verified Purchase
21,Fresh feel after use,4.0 out of 5 stars,"I completed two bottles of these and safe to say, it’s really good. It fizzes in your mouth, which was different at first but loved it with time. It does what it claims, mild taste, feels clean, etc. Ducting a star for the higher price! And loved the colour!!",Reviewed in India on 11 September 2023,Verified Purchase
22,A welcome change,4.0 out of 5 stars,This variant has a much milder flavor than the mint or original yellow listerine.Quite nice.,Reviewed in India on 27 September 2023,Verified Purchase
23,Good,4.0 out of 5 stars,Feel less effective than other brands.,Reviewed in India on 2 September 2023,Verified Purchase
24,Good product,5.0 out of 5 stars,Excellent,Reviewed in India on 7 February 2024,Verified Purchase
25,Best Mouthwash Handsdown,5.0 out of 5 stars,"The direction to not rinse the mouth after, is helpful in making it effective.Also, this makes a bit of lather in the mouth that at least gives you the illusion that the effect will lastThis indeed has the longest lasting effect.Now whether it is advisable to use a mouthwash regularly for it might kill the good bacteria and also hamper the environment required for receding gums to heal naturally - is a different matter.",Reviewed in India on 2 August 2023,Verified Purchase
26,Mild not burning but effective,5.0 out of 5 stars,I liked it more than others specially the taste,Reviewed in India on 4 October 2023,Verified Purchase
27,Feels better after using,5.0 out of 5 stars,"This stings little less than other Listerine variant, but has flouride in this one. Which helps in cleaning teeth and gums, also whitening them.Make sure you brush before using this for like 30 sec gargle, then spit. Don't use water again after rinsing mouth with it. Maybe after 1 hour later you can eat or drink.I normally use before going to bed. Works good for me.NOTE: Definitely gives you that after feeling in entire mouth (inner cheeks, inner lips, and whole mouth) as though you visited a dentist and had flouride and other medicinal rinsing/cleaning.",Reviewed in India on 14 April 2023,Verified Purchase
28,Very pleasant but not VFM,4.0 out of 5 stars,should be priced around 200 or less. Is lot better than strong ones.,Reviewed in India on 3 December 2023,Verified Purchase
29,"Potent, Mouth wash",5.0 out of 5 stars,"It leaves mouth, super clean and dry, as if you have visited dentist for flouride treatment...really good",Reviewed in India on 13 September 2023,Verified Purchase
30,Fresh feel after use,4.0 out of 5 stars,"I completed two bottles of these and safe to say, it’s really good. It fizzes in your mouth, which was different at first but loved it with time. It does what it claims, mild taste, feels clean, etc. Ducting a star for the higher price! And loved the colour!!",Reviewed in India on 11 September 2023,Verified Purchase
31,A welcome change,4.0 out of 5 stars,This variant has a much milder flavor than the mint or original yellow listerine.Quite nice.,Reviewed in India on 27 September 2023,Verified Purchase
32,Good,4.0 out of 5 stars,Feel less effective than other brands.,Reviewed in India on 2 September 2023,Verified Purchase
33,Soapy,3.0 out of 5 stars,"Everything good except that it feels soapy and forms a lot of foam, also its a bit rough for the mouth.Go with the 'Cool Mint' or 'Cavity fighter' ones.",Reviewed in India on 5 September 2022,Verified Purchase
34,Good,3.0 out of 5 stars,Good,Reviewed in India on 20 January 2023,Verified Purchase
35,Everything good except excessive dryness post use,3.0 out of 5 stars,"I really liked the product. Best taste, no strong aftertaste like the other variants, super effective but probably due to the strong characteristics of the product it makes my mouth dry which was not a problem until I noticed my tongue turning black after 15 days of use. I asked my dentist and she told me that its due to dead skin buildup on my tongue due to excessive dryness after using this mouthwash. Stopped using it and it went back to normal within 2-3 days.",Reviewed in India on 7 March 2023,N/A
36,It hurt my gums,1.0 out of 5 stars,I had to stop using it coz it hurt my gums. My dentist stopped my usage.,Reviewed in India on 23 December 2023,Verified Purchase
37,Leaked products received,1.0 out of 5 stars,,Reviewed in India on 12 December 2023,Verified Purchase
38,Honest Review : Premium Price for Salt water.,1.0 out of 5 stars,Listerine Total Care (Purple) most certainly tastes and acts like gargling with salt water.Would you rather pay Rs. 300+ or use a cup of water with a teaspoon of salt when both of them will give you the same outcome? Do as your pocket allows you to.This is a gimmic concept that people blindly fall for - Pushing basic & inexpensive-to-produce items that our grandparents used with a ridiculous premium charged by conglomerates in the name of modernism.,Reviewed in India on 27 July 2023,Verified Purchase
39,Doubtful quality,1.0 out of 5 stars,The material in the bottle seems dialuted,Reviewed in India on 8 October 2023,Verified Purchase
40,Bad after taste,1.0 out of 5 stars,It is mild but the after taste sucks,Reviewed in India on 23 September 2022,Verified Purchase
